Date,Mkt-RF,SMB,HML,RMW,CMA,Mom,LBUSTRUU Index
2001-08-01,0.0048,0.0032,-0.0015,-0.0047,-0.0101,-0.01,-0.001034588
2001-08-02,0.0033,-0.0034,0.0018,0.0006,-0.0034,-0.0085,-0.002731297
2001-08-03,-0.0049,0.0012,0.0009,0.001,0.0066,0.0017,-0.000733056
2001-08-06,-0.0116,-0.0008,0.0069,0.0008,0.0058,0.0048,0.000866048
2001-08-07,0.0021,-0.0036,0.0035,0.0068,0.0044,0.004,0.00018324
2001-08-08,-0.0172,0.0024,0.0087,0.0084,0.0114,0.0131,0.004661578
2001-08-09,-0.0006,0.0029,-0.0028,0.0042,0.0009,0.0043,-0.001104267
2001-08-10,0.0044,-0.0038,0.0027,0.0053,0.0044,0.005,0.001734298
2001-08-13,0.0023,0.0021,-0.0042,-0.0039,-0.0019,-0.0015,0.001265566
2001-08-14,-0.003,0.0068,0.0037,0.0023,0.0068,0.0094,-0.000404469
2001-08-15,-0.0075,0.0053,0.0022,0.012,0.0113,0.0132,-0.001011583
2001-08-16,0.0021,0.0009,0.0042,0.0018,0.0016,0.0052,0.001498658
2001-08-17,-0.0163,0.0049,0.0033,0.0019,0.0108,0.0128,0.003255715
2001-08-20,0.0071,-0.0014,-0.007,0.0041,-0.0004,0.0033,-0.002307886
2001-08-21,-0.0122,-0.0013,0.0084,0.0002,0.0132,0.0125,0.001161663
2001-08-22,0.0071,0.002,-0.0064,-0.001,-0.002,-0.0079,0.000100897
2001-08-23,-0.0031,-0.0038,-0.0003,-0.0003,0.0019,0.0038,0.001553657
2001-08-24,0.0184,-0.0035,-0.0091,-0.007,-0.0141,-0.028,-0.001087887
2001-08-27,-0.0042,0.0015,-0.0034,-0.0041,-0.0028,-0.0075,-0.000322688
2001-08-28,-0.0146,0.0039,0.0096,0.0005,0.0073,0.0128,0.003550714
2001-08-29,-0.0098,0.0081,0.0029,-0.0004,0.0054,0.0092,0.00282449
2001-08-30,-0.016,0.0041,0.0065,0.0044,0.0121,0.0165,0.0000601
2001-08-31,0.0042,-0.0022,0.0027,-0.0016,-0.0021,-0.0083,-0.000551246
2001-09-04,-0.0012,-0.0027,0.0094,0.007,0.0044,0.0136,-0.006678767
2001-09-05,-0.0032,-0.0063,0.0048,0.0113,0.0103,0.0106,0.001130708
2001-09-06,-0.0213,0.0024,0.0073,0.003,0.0095,0.0155,0.004497555
2001-09-07,-0.0183,0.0012,-0.0031,-0.0002,0.0024,-0.0035,0.002449529
2001-09-10,0.0037,-0.0129,-0.0046,0.0035,-0.0034,-0.0027,-0.001291873
2001-09-17,-0.0503,-0.0007,-0.0088,0.0102,0.0097,0.0274,-0.002038564
2001-09-18,-0.0082,-0.0114,0.0125,0.0053,0.0038,0.0156,-0.00305911
2001-09-19,-0.0167,-0.0082,-0.0002,0.0012,-0.0045,0.0063,0.002388829
2001-09-20,-0.0305,-0.0093,-0.0013,-0.0044,-0.0013,0.0074,-0.001904515
2001-09-21,-0.0196,-0.0043,-0.003,0.0011,0.0023,0.0039,0.001498546
2001-09-24,0.0382,0,-0.0076,-0.0013,-0.0095,-0.0208,-0.000169581
2001-09-25,0.0074,-0.0033,0.0034,0.005,0.0028,0.0124,0.001536466
2001-09-26,-0.0067,-0.0084,0.0043,0.0124,0.0102,0.0203,0.00290883
2001-09-27,0.011,-0.0082,0.0027,0.0029,0.0065,0.0178,0.002950058
2001-09-28,0.0225,0.007,0.006,-0.0075,-0.007,-0.005,-0.000911135
2001-10-01,-0.0045,-0.0118,-0.0011,0.0072,0.0001,0.0046,0.001358036
2001-10-02,0.0117,-0.0027,-0.0022,-0.0028,-0.0031,0.0033,0.002395613
2001-10-03,0.0228,0.0035,-0.0122,-0.0113,-0.0185,-0.0198,0.001402331
2001-10-04,-0.0012,0.0128,-0.0079,-0.0062,-0.008,-0.0117,0.0000592
2001-10-05,0.0004,-0.0026,-0.0072,0.0032,-0.0017,-0.0044,0.000177501
2001-10-08,-0.008,0.0031,0.003,-0.0039,-0.0016,-0.0085,0
2001-10-09,-0.0051,-0.0034,0.0001,0.0016,0.0031,0.0087,-0.002454992
2001-10-10,0.0235,0.0039,-0.007,-0.001,-0.0088,-0.0146,0.000424998
2001-10-11,0.0173,0.0031,-0.0074,-0.014,-0.0177,-0.0277,-0.002588421
2001-10-12,-0.0057,0.0022,-0.0037,-0.0063,-0.0031,-0.0084,0.000614117
2001-10-15,-0.0009,0.0045,-0.0018,0.0021,0.0022,0.0055,0.002890517
2001-10-16,0.0078,0.0032,-0.0063,-0.0012,-0.0009,-0.0071,0.002102416
2001-10-17,-0.0202,0.0021,0.0035,0.0116,0.0079,0.0087,0.000738734
2001-10-18,-0.0073,0.0015,-0.0009,0.0058,0.0019,0.0034,0.000423228
2001-10-19,0.0054,0.0047,-0.007,0.0018,0.0026,0.0026,-0.001397047
2001-10-22,0.0151,-0.004,-0.0064,-0.0044,-0.0029,-0.0075,0.000344824
2001-10-23,-0.0051,0,-0.0003,0.0028,-0.0024,-0.0002,-0.000659864
2001-10-24,0.0008,0.0021,-0.0112,0.0004,-0.0037,-0.0061,0.002739753
2001-10-25,0.0142,0.003,-0.0122,-0.0057,-0.0068,-0.0134,0.001739609
2001-10-26,0.0041,0.004,0.0004,0.0019,0.0044,-0.0033,0.00023547
2001-10-29,-0.0233,0.0051,0.009,0.002,0.011,0.0143,0.002040256
2001-10-30,-0.0176,0.0038,0.0091,0.0055,0.0075,0.0149,0.002045891
2001-10-31,0.0018,0.0129,-0.0012,-0.003,-0.0057,-0.0099,0.00612514
2001-11-01,0.021,-0.0075,-0.008,0.0048,-0.0022,-0.0093,0.000835016
2001-11-02,0.0018,-0.006,0.0029,0.0036,0.0014,0.0033,-0.005005918
2001-11-05,0.0142,-0.0066,-0.005,-0.0078,-0.0093,-0.0123,0.003042062
2001-11-06,0.0144,-0.0048,-0.0025,-0.0006,-0.002,-0.0132,0.002226024
2001-11-07,-0.0023,0.0008,-0.004,0.0017,-0.005,-0.0064,0.003705033
2001-11-08,0.0007,-0.0031,0.0065,0.0016,-0.003,-0.0082,-0.003217858
2001-11-09,0.0007,-0.0008,-0.001,0.0023,0.0007,-0.0018,-0.001182721
2001-11-12,-0.0007,0.006,-0.0049,-0.0028,-0.0021,-0.0012,0
2001-11-13,0.0186,-0.0033,-0.0024,-0.0079,-0.0088,-0.0175,-0.001659711
2001-11-14,0.0034,0.0061,0.004,-0.0007,-0.0007,-0.0117,-0.004326311
2001-11-15,0,-0.0082,0.0129,-0.0002,0.0042,0.0005,-0.008865975
2001-11-16,-0.0025,0.006,0.0056,-0.0075,0.001,-0.005,-0.005782909
2001-11-19,0.0115,0.0016,-0.005,-0.0066,-0.0084,-0.0132,0.006638988
2001-11-20,-0.008,0.0017,0.0022,0.0104,0.0126,0.0174,-0.003976809
2001-11-21,-0.0048,0.0033,-0.0029,0.001,0.0022,0.0009,-0.004289173
2001-11-23,0.0117,0.0008,-0.0001,-0.0017,-0.0017,-0.0073,-0.001637701
2001-11-26,0.0072,-0.0014,-0.003,-0.0052,-0.006,-0.0096,0.000139184
2001-11-27,-0.0055,0.0056,0.0016,-0.0086,-0.0008,-0.0037,0.002455268
2001-11-28,-0.0178,0.0035,0.0105,0.007,0.0124,0.021,-0.000376808
2001-11-29,0.0115,0.0088,-0.0058,-0.0038,-0.0037,-0.0044,0.006775189
