Date,Mkt-RF,SMB,HML,RMW,CMA,Mom,LBUSTRUU Index
2001-08-31,-1,0,0,0,1,1,-0.206752505
2001-09-28,-1,-1,0,1,0,1,0.060803043
2001-10-31,0,1,-1,0,0,-1,1.235725123
2001-11-30,1,0,0,0,0,-1,2.247329044
2001-12-31,0,1,0,0,0,0,0.180003976
2002-01-31,0,0,0,1,0,1,0.275928988
2002-02-28,0,0,0,1,1,1,0.993485693
2002-03-28,0,0,0,0,0,0,1.239646201
2002-04-30,-1,1,0,0,1,1,-0.103774183
2002-05-31,0,0,0,0,0,0,-0.68379135
2002-06-28,-1,0,0,0,0,1,-0.652286566
2002-07-31,-1,-1,0,0,0,0,-0.291862442
2002-08-30,0,0,0,0,0,0,-0.113883927
2002-09-30,-1,0,0,0,0,1,-1.20103406
2002-10-31,1,0,-1,0,0,-1,1.189332592
2002-11-29,1,0,0,-1,0,-1,-0.573994829
2002-12-31,-1,0,0,1,0,1,0.073339687
2003-01-31,0,0,0,0,0,0,-0.383085247
2003-02-28,0,0,0,0,0,0,-0.160670881
2003-03-31,0,0,0,0,0,0,-0.139510952
2003-04-30,1,0,0,0,0,-1,-0.126814995
2003-05-30,1,0,0,-1,0,-1,-0.090137785
2003-06-30,0,0,0,0,0,0,-0.14491849
2003-07-31,0,0,0,0,0,0,-1.35628267
2003-08-29,0,0,0,0,0,0,-0.485828458
2003-09-30,0,0,0,0,0,0,0.287760301
2003-10-31,1,0,0,0,0,1,-0.717647236
2003-11-28,0,0,0,0,0,0,-0.495703091
2003-12-31,0,0,0,0,0,-1,-0.495703091
2004-01-30,0,0,0,0,0,0,-0.379088371
2004-02-27,0,0,0,0,0,0,-0.3273641
2004-03-31,0,0,0,0,0,0,-0.369919069
2004-04-30,0,0,0,0,0,0,-1.317959687
2004-05-28,0,0,0,0,0,0,-0.281282477
2004-06-30,0,0,0,0,0,0,-0.26882163
2004-07-30,0,0,0,1,0,0,-0.183476583
2004-08-31,0,0,0,0,0,0,-0.141156725
2004-09-30,0,0,0,0,0,0,-0.142332276
2004-10-29,0,0,0,0,0,0,-0.129166098
2004-11-30,0,0,0,0,0,0,-0.103774183
2004-12-31,0,0,0,0,0,0,-0.110357272
2005-01-31,0,0,0,0,0,0,-0.097661315
2005-02-28,0,0,0,0,0,0,-0.088962233
2005-03-31,0,0,0,0,0,0,-0.095075101
2005-04-29,0,0,0,0,0,0,-0.054636126
2005-05-31,0,0,0,0,0,0,-0.027128218
2005-06-30,0,0,0,0,0,0,-0.047817927
2005-07-29,0,0,0,0,0,0,-0.07250451
2005-08-31,0,0,0,0,0,0,-0.081203592
2005-09-30,0,0,0,0,0,0,-0.087316461
2005-10-31,0,0,0,0,0,0,-0.087551571
2005-11-30,0,0,0,0,0,0,-0.087551571
2005-12-30,0,0,0,0,0,0,-0.081438703
2006-01-31,0,1,0,0,0,0,-0.078382268
2006-02-28,0,0,0,0,0,0,-0.078617379
2006-03-31,0,0,0,0,0,0,-0.082614254
2006-04-28,0,0,0,0,0,0,-0.131517201
2006-05-31,0,0,0,0,0,0,-0.168664632
2006-06-30,0,0,0,0,0,0,-0.138570511
2006-07-31,0,0,0,0,0,0,-0.121877678
2006-08-31,0,0,0,0,0,0,-0.118115913
2006-09-29,0,0,0,0,0,0,-0.103774183
2006-10-31,0,0,0,0,0,0,-0.096720874
2006-11-30,0,0,0,0,0,0,-0.107300838
2006-12-29,0,0,0,0,0,0,-0.093194219
2007-01-31,0,0,0,0,0,0,-0.118115913
2007-02-28,0,0,0,0,0,0,-0.131752312
2007-03-30,0,0,0,0,0,0,-0.087316461
2007-04-30,0,0,0,0,0,0,-0.072739621
2007-05-31,0,0,0,0,0,0,-0.100482639
2007-06-29,0,0,0,0,0,0,-0.103774183
2007-07-31,0,0,0,0,0,0,-0.04335083
2007-08-31,0,0,0,0,0,0,0.064094587
2007-09-28,0,0,0,0,0,0,0.106414445
